Acct,SerialNumber
001,MXL65215B9
001,MXL6521VDL
001,MXL6521BWW
001,MXL6521BY0
001,355767074901914
001,MXL6521Q95
001,355767074954673
001,MXL14217XL
001,MXL4461ZL1
001,MXL4460XJ7
001B,JRY5KM1
001B,DHJ7LN1
001B,DHK4LN1
001B,DHK5LN1
001B,DHM4LN1
001B,DHN5LN1
001B,MXL4460XDT
001B,MXL840183L
001B,68ZQ1R1
001B,68ZV1R1
001B,68ZW1R1
001B,690N1R1
001B,690P1R1
001B,690R1R1
001B,MXL0402G0M
001B,MXL14216NZ
001B,MXL14216QD
001B,MJADTFE
001B,MJAFGAT
001B,MJAFGME
001B,MJAFGNH
001B,MJAFGNM
001B,MJAFGVY
001B,MJAFGXE
001B,MJAHGMR
001B,MJAHGWN
001B,MJAHGXW
001B,MJAYRLV
001B,MJAYRMT
001B,MJAYRND
001B,MJAYRNZ
001B,MJAYRPG
001B,MJAYRTW
001B,MJAZEWP
001B,MJAZEWY
001B,MJAZEXC
001B,MJAZEXF
001B,MJAZEXN
001B,MJAZEZB
001B,MJAZEZK
001B,C01DMM1
001B,CC5YDQ1
001B,CC6YDQ1
001B,CC70FQ1
001B,CC90FQ1
001B,MXL0402G1C
001B,MXL041011J
001B,68ZT1R1
001B,2UA4421YGN
001B,MXL2412VRG
001B,MXL2412VRL
001B,MXL2412VRT
001B,MXL2412VS1
001B,MXL2412VSB
001B,MXL2412VSF
001B,MXL43914C9
001B,MXL5420GN9
001B,2406428887
001B,D9G78P1
001B,D9H08P1
001B,D9H18P1
001B,D9H28P1
001B,D9H48P1
001B,D9H88P1
001B,D9J38P1
001B,D9J48P1
001B,CC9YDQ1
001B,FDPQMM1
001B,355767075192851
001B,68ZS1R1
001B,2UA2440G82
001B,MXL04100YB
001B,GD56LN1
001B,GD57LN1
001B,GD65LN1
001B,GD66LN1
001B,GD67LN1
001B,MXL0190P2Y
001B,MXL0190P30
001B,5ZFT9P1
001B,MXL0412PYK
001B,MXL0412PYR
001B,MXL0412PYV
001B,MXL0412PYY
001B,MXL0412PZ2
001B,MXL0412PZ4
001B,MXL0412PZF
001B,MXL0412PZJ
001B,MXL0412PZK
001B,F20SMM1
001B,8MNBGX1
001B,8ND8GX1
001B,92LBGX1
001B,8NT8GX1
001B,8NW9GX1
001B,92YBGX1
001B,92R9GX1
001B,92JBGX1
001B,92JCGX1
001B,MXL4461QSJ
001B,MXL4461QSN
001B,MXL8430VJ0
001B,MXL8430VJ1
001B,MXL8430VJ2
001B,MXL8430VJ3
001B,MXL2412VRP
001B,MXL2412VRR
001B,MXL2412VRS
001B,MXL2412VS8
001B,MXL2412VSV
001B,MXL2422PDD
001B,MXL2422PDG
001B,MXL2422PDH
001B,MXL2422PDK
001B,MXL2422PDL
001B,MXL2422PDM
001B,MXL2422PDP
001B,MXL2422PDS
001B,MXL2422PDX
001B,MXL84308BB
001B,MXL137018N
002,MXL4393FSW
002,MXL4401HJ3
002,MXL4401HJ4
002,MXL4401HJ6
002,MXL4401HJ7
002,MXL845057X
002,MXL845058D
002,MXL845058Q
002,4TRQLN1
002,4TSRLN1
002,4TTNLN1
002,4TTPLN1
002,4TTRLN1
002,4TXPLN1
002,6GZKZD1
002A,7IKSA73936
002A,7IKSA74911
002A,7IKSA74988
002A,7IKSA74994
002A,71KSA72149
002A,71KSA73822
002A,71KSA73878
002A,71KSA73942
002A,6AKSB04366
002A,6AKSB04364
002C,MXL4392SR5
002C,MXL4392SR6
002C,MXL4392SR7
002C,MXL4460XDS
002C,MXL4460XDZ
002C,MXL4460XF7
002C,MXL4460XG0
002C,MXL4460XG3
002C,MXL4460XG7
002C,MXL4460XG9
002C,MXL4460XGZ
002C,MXL4460XHP
002C,MXL4460XHR
002C,MXL4460XHY
002C,MXL4460XJ9
002C,MXL4460XJC
002C,MXL4461ZJQ
002C,MXL4461ZJY
002C,MXL4461ZK5
002C,MXL4461ZL9
002C,MXL4461ZLP
002C,MXL4461ZLS
002C,MXL4461ZLX
002C,MXL4461ZM1
002C,MXL8450581
002C,MXL8450589
002C,MXL9470027
002C,MXL947002C
002C,MXL947002D
002C,MXL94705KP
002C,MXL94705KX
002C,MXL94705KY
002C,MXL94705L1
002C,MXL6513B4D
002C,MXL6513B4H
002C,MXL6521592
002C,MXL65215BN
002C,MXL65215CJ
002C,MXL65215CZ
002C,MXL6521Q92
002C,MXL6521Q9W
002C,MXL6521QB2
002C,MXL6521QCY
002C,MXL6521QD3
002C,MXL6521QDJ
002C,MXL6521QF8
002C,MXL6521QG1
002C,MXL6521VG9
002C,MXL6521VGR
002C,MXL6521VGV
002C,MXL6521VHR
002C,MXL6521VJ3
002C,MXL6521VJ9
002C,MXL6521VJB
002C,MXL6521VJC
002C,MXL6521VJJ
002C,MXL6521VJM
002C,MXL6521BWX
002C,MXL6521BX0
002C,MXL6521BXS
002C,MXL6521BYP
002C,MXL6521BYS
002C,MXL6521BZQ
002C,MXL6521BZR
002C,MXL6521BZS
002C,MXL6521V5H
002C,MXL6521V5K
002C,MXL6521V5S
002C,MXL6521V64
002C,MXL6521V67
002C,MXL6521V6D
002C,MXL6521V6Q
002C,MXL6521V6R
002C,MXL6521V6W
002C,2UA4421T67
002C,2UA4421T68
002C,2UA4421T6P
002C,2UA4421T6S
002C,2UA4421T7V
002C,MXL9421BXW
002C,MXL9421BYZ
002C,MXL9421BZM
002C,MXL9421BZY
002C,MXL24316VN
002C,MXL24316VS
002C,MXL24316WG
002C,MXL24316WH
002C,MXL24316WM
002C,MXL24316WT
002C,MXL24316X0
002C,MXL24316X6
002C,MXL24316XB
002C,MXL24316XK
002C,MXL24316XM
002C,MXL24316XW
002C,MXL24316Y9
002C,MXL24316YC
002C,MXL24316YJ
002C,MXL24316YL
002C,MXL24316YX
002C,MXL24316Z9
002C,MXL2431701
002C,MXL243170G
002C,MXL2431718
002C,MXL243171M
002C,MXL243171R
002C,MXL243171S
002C,MXL0402G0H
002C,MXL0402G1H
002C,MXL0402G1N
002C,MXL0402G1P
002C,MXL0402G1R
002C,MXL0402G1Z
002C,MXL0402G2Y
002C,MXL04100VP
002C,MXL04100VV
002C,MXL04100W0
002C,MXL04100WL
002C,MXL04100X3
002C,MXL04100Y8
002C,MXL04100YN
002C,MXL04100ZF
002C,MXL04100ZH
002C,MXL041010H
002C,MXL0410119
002C,MXL041011B
002C,MXL041012H
002C,MXL041012R
002C,MXL041012Z
002C,MXL041013P
002C,MXL14216S9
002C,MXL142181X
002C,MXL8430KJ2
002C,MXL8390YZV
002C,C26PTV1
002C,C26RTV1
002C,BTK5VV1
002C,MXL9470029
002C,MXL947002F
002C,MXL94705KN
002C,MXL94705KQ
002C,MXL94705KW
002C,MXL94705L0
002C,355417072112052
002C,355767074392486
002C,355767075105911
002C,355767075274865
002C,MXL94205YK
002C,MXL4393FSV
002C,MXL4393FSX
002C,MXL4393FSY
002C,MXL4393FSZ
002C,MXL4401HJ5
002C,MXL845058B
002C,MXL94705KR
002C,MXL94705KS
002C,MXL94705KV
002C,MXL94705L2
002C,MXL94705L6
002C,MXL94705L7
002C,MXL9411SQT
002C,MXL9411SS9
002C,MXL845058N
002C,MXL94705L5
002C,MXL4370KZM
002C,MXL4370KZN
002C,MXL4370KZP
002C,MXL4370KZQ
002C,MXL4370KZR
002C,MXL4370KZS
002C,MXL4370KZT
002C,MXL4370KZV
002C,MXL4370L05
002C,MXL4370L07
002C,MXL4370L08
002C,MXL4370L09
002C,MXL4370L0B
002C,MXL4370L0C
002C,MXL4370L0D
002C,MXL4370L0F
002C,MXL4370L0G
002C,MXL845057V
002C,MXL845057W
002C,MXL845057Y
002C,MXL8450586
002C,MXL8450588
002C,MXL845058G
002C,MXL845058H
002C,MXL845058J
002C,MXL845058M
002C,MXL8410XZJ
002C,MXL7400SVJ
002C,MXL7400SXS
002C,MXL7400SZK
002C,MXL7400T0P
002C,MXL7400T0Y
002C,MXL74014H6
002C,MXL74014HD
002C,MXL74014K5
002C,MXL74014KC
002C,MXL24316WY
002C,MXL24316X8
002C,MXL243171P
002C,MXL2431728
002C,MXL0402G0P
002C,MXL0402G0X
002C,MXL0402G2L
002C,5S1YCH1
002C,6S1YCH1
002C,BTJ7VV1
002C,BTJ8VV1
002C,2UA94405JB
002C,3JQTRD1
002C,8JQTRD1
002C,MXL4461QRY
002C,MXL4461QS1
002C,MXL4461QS4
002C,MXL4461QS6
002C,MXL4461QSB
002C,MXL4461QSC
002C,MXL4461QSL
002C,MXL4461QSY
002C,MXL4461QSZ
002C,MXL4461QT0
002C,MXL4461QT4
002C,MXL4461QT7
002C,MXL4461QTB
002C,MXL7400SWT
002C,MXL7400T2D
002C,MXL74014FC
002D,024850272853
002D,024878672853
002D,024964372853
002D,025021472853
002D,025040372853
002D,025058172853
002D,025080672853
002D,025104272853
002D,025116672853
002D,025140272853
002D,025322772853
002D,025337172853
002D,025362372853
002D,025397272853
002D,025650372853
002D,02589567253
002D,025928272853
002D,038738671453
002D,677P9K1
002D,4SZPLN1
002D,4SZQLN1
002D,4T0QLN1
002D,4T1PLN1
002D,4T5RLN1
002D,4T8RLN1
002D,4TBPLN1
002D,4TFRLN1
002D,4TGPLN1
002D,4THPLN1
002D,4THQLN1
002D,4TKQLN1
002D,4TQNLN1
002D,4V2QLN1
002D,4V2RLN1
002D,4V3PLN1
002D,4V3QLN1
002D,7IKSA73837
002D,7IKSA74968
002D,7IKSA75082
002D,7IKSA75209
002D,7IKSA75298
002D,7IKSA75326
002D,4T9PLN1
002D,4V0QLN1
002D,4V6PLN1
002D,4V6RLN1
002D,4T0PLN1
002D,4T0RLN1
002D,4T3QLN1
002D,4T3RLN1
002D,4T6PLN1
002D,4T6QLN1
002D,4T7PLN1
002D,4TFPLN1
002D,4TGQLN1
002D,4TJRLN1
002D,4TKPLN1
002D,4TNPLN1
002D,4TPRLN1
002D,4TRNLN1
002D,4TRPLN1
002D,4TRRLN1
002D,4TVPLN1
002D,4TVQLN1
002D,4TWNLN1
002D,4TWRLN1
002D,4TZNLN1
002D,4TZPLN1
002D,4V1PLN1
002D,4V1QLN1
002D,4V4PLN1
002D,4V5QLN1
002D,4V5RLN1
002D,4V6QLN1
002D,5RT7SK1
002D,MXL542161D
002D,MXL542161F
002D,MXL542161G
002D,MXL542161H
002D,MXL542161J
002D,MXL542161K
002D,MXL542161L
002D,MXL542161M
002D,MXL542161N
002D,MXL542161P
002D,MXL542161Q
002D,MXL542161R
002D,MXL542161T
002D,MXL542161V
002D,MXL542161W
002D,MXL542161X
002D,MXL542161Y
002D,MXL542161Z
002D,MXL5421620
002D,MXL5421621
002D,MXL5421622
002D,MXL5421623
002D,MXL5421624
002D,MXL5421625
002D,MXL5421626
002D,MXL5421627
002D,MXL5421628
002D,MXL5421629
002D,MXL542162B
002D,MXL542162C
002D,277PAK1
002D,4T1QLN1
002D,4T1RLN1
002D,4T6RLN1
002D,4T7RLN1
002D,4T9QLN1
002D,4T9RLN1
002D,4TFQLN1
002D,4TJPLN1
002D,4TLQLN1
002D,4TPPLN1
002D,4TPQLN1
002D,4TSNLN1
002D,4TTQLN1
002D,4TWQKN1
002L,MXL4460XJ2
002L,MXL2412VRK
002L,2CTSA76392
002L,2CTSA76395
002L,2CTSA76402
002L,2CTSA76412
002L,2CTSA76446
002L,2CTSA76451
002L,2CTSA76453
002L,2CTSA76462
002L,2CTSA76463
002L,2CTSA76470
002L,2CTSA76473
002L,2CTSA76474
002L,2CTSA76479
002L,2CTSA76480
002L,6AKYB97145
002L,6AKYB98161
002L,3FKYA27179
002L,MXL2412VRX
002L,MXL2412VSG
002L,MXL2412VSM
002L,2RXWLB1
002L,4T2QLN1
002L,4T8PLN1
002L,4TCPLN1
002L,4TPNLN1
002L,4TQPLN1
002L,MXL4461ZKY
002L,MXL4461ZM7
002L,MXL4461ZM8
002Q,MXL9470026
002Q,356201042276182
002Q,MXL94705KM
002Q,MXL8450584
002Q,MXL845058C
002Q,MXL9470028
002Q,MXL041011S
002Q,MJ02ZBUX
002Q,MJ02ZBVM
002Q,MJ02ZBVU
002Q,MJ02ZBVV
002Q,MJ02ZBWA
002Q,MJ02ZBX7
002Q,MJ02ZC1T
002Q,MJ02ZC1V
002Q,MJ02ZC1Y
002Q,MJ02ZC23
002Q,MJ02ZC25
003,MXL137018M
003,2UA4421T73
003,2UA4421T7Q
003,2UA2440G9J
003,MXL7470LH1
003,MXL0410136
003,MXL14216PC
003,MXL14216QH
003,MXL8390Z5D
003,4RRP0R1
003,MXL2422PDR
003,355423078034332
003,355424077683681
003,355432071625624
003,355767075043559
003,MXL03614QQ
003,MXL4461ZJN
004,MXL4460XJF
004,MXL6521BXM
004,2UA4422TM
004,MXL14216N1
004,Q4Y02085
004,2UA44220P2
004,2UA44220PD
004,2UA44222TM
004,G37VMH1
004,2UA4421YH0
004,MXL4460XH1
004,MXL4461ZM0
004,2UA4421YHD
004,2UA44222V2
005,MXL4460XF6
005,MXL041011Z
005,MXL840183R
005,MXL840183S
005,2UA4421T7J
005,2UA4421YG1
005,2UA24216Z0
005,MXL14217XP
005,MXL14217YG
005,MXL14217YK
005,355767074041448
005,355766073487743
005,2UA44222TD
005,2UA4421YHK
005,2UA4421T7N
006,MXL6521V5Y
006,2UA44220PG
006,MXL4461QRZ
007,2UA44222T4
007,2UA44222TY
007,2UA44222TZ
007,2UA44222V6
007,2UA44222V7
007,2UA44222VD
008,2309-400527
008,MXL4461ZL3
008,2309-400474
008,2309-400480
008,2309-400497
008,2309-400499
008,2309-400501
008,2309-400502
008,2309-400503
008,2309-400509
008,2309-400514
008,2309-400516
008,2309-400520
008,2011-212543
008,2011-212544
008,2011-212547
008,MXL243170X
008,2011-212552
008,2011-212553
008,2011-212554
008,2011-212557
008,2011-212560
008,2011-212564
008,CT443A01
008,HWY2441
008,2UA2440G9R
008,MXL24316XX
008,MXL24316YZ
008,MXL24316Z1
008,2UA2440G7D
008,MXL24316V6
008,MXL14216PT
008,MXL8390YXS
008,MXL6513B40
008,MXL652159Q
008,MXL65215B0
008,MXL65215B4
008,MXL65215BK
008,MXL65215C0
008,MXL6521VF8
008,MXL6521BZD
008,MXL6521V60
008,MXL94102QC
008,MXL94102X9
008,MXL83912MN
008,MXL14216PH
008,MXL243171X
008,MXL14216MT
008,MXL14216QJ
008,2UA4421YHR
008,MXL23014TF
009,MXL14216ML
009,MXL04100XX
009,MXL04100Y6
009,BVX1MD1
010,MXL6521QB3
010,2104-243290
010,2104-243300
010,2104-243323
010,2104-243328
010,2104-243336
010,2UA2431N3K
010,MXL14216QW
010,MXL14216P1
010,2UA4421YFZ
010,2UA44220PC
010,2UA44220PQ
010,2UA44222TQ
